 [2025-11-16 17:42:20] iteration        1/30517578 | consumed samples:           64 | elapsed time per iteration (ms): 111053.3 | throughput per GPU (TFLOP/s/GPU): 119.7 | learning rate: 1.310719E-09 | decoupled learning rate: 3.276798E-09 | global batch size:    64 | lm loss: 1.195438E+01 | loss scale: 1.0 | grad norm: 80.507 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2025-11-16 17:51:30] iteration       15/30517578 | consumed samples:          960 | elapsed time per iteration (ms): 39023.8 | throughput per GPU (TFLOP/s/GPU): 340.5 | learning rate: 1.966079E-08 | decoupled learning rate: 4.915197E-08 | global batch size:    64 | lm loss: 1.194169E+01 | loss scale: 1.0 | grad norm: 29.721 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2025-11-16 17:52:06] iteration       16/30517578 | consumed samples:         1024 | elapsed time per iteration (ms): 35427.0 | throughput per GPU (TFLOP/s/GPU): 375.1 | learning rate: 2.097151E-08 | decoupled learning rate: 5.242877E-08 | global batch size:    64 | lm loss: 1.192915E+01 | loss scale: 1.0 | grad norm: 30.447 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2025-11-16 17:52:43] iteration       17/30517578 | consumed samples:         1088 | elapsed time per iteration (ms): 37815.8 | throughput per GPU (TFLOP/s/GPU): 351.4 | learning rate: 2.228223E-08 | decoupled learning rate: 5.570557E-08 | global batch size:    64 | lm loss: 1.192311E+01 | loss scale: 1.0 | grad norm: 30.218 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2025-11-16 17:53:20] iteration       18/30517578 | consumed samples:         1152 | elapsed time per iteration (ms): 36722.1 | throughput per GPU (TFLOP/s/GPU): 361.9 | learning rate: 2.359295E-08 | decoupled learning rate: 5.898237E-08 | global batch size:    64 | lm loss: 1.191519E+01 | loss scale: 1.0 | grad norm: 30.520 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2025-11-16 17:53:57] iteration       19/30517578 | consumed samples:         1216 | elapsed time per iteration (ms): 36629.9 | throughput per GPU (TFLOP/s/GPU): 362.8 | learning rate: 2.490367E-08 | decoupled learning rate: 6.225917E-08 | global batch size:    64 | lm loss: 1.191299E+01 | loss scale: 1.0 | grad norm: 29.739 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2025-11-16 17:54:33] iteration       20/30517578 | consumed samples:         1280 | elapsed time per iteration (ms): 35944.1 | throughput per GPU (TFLOP/s/GPU): 369.7 | learning rate: 2.621439E-08 | decoupled learning rate: 6.553597E-08 | global batch size:    64 | lm loss: 1.190267E+01 | loss scale: 1.0 | grad norm: 30.382 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2025-11-16 17:55:09] iteration       21/30517578 | consumed samples:         1344 | elapsed time per iteration (ms): 36094.2 | throughput per GPU (TFLOP/s/GPU): 368.2 | learning rate: 2.752511E-08 | decoupled learning rate: 6.881276E-08 | global batch size:    64 | lm loss: 1.188988E+01 | loss scale: 1.0 | grad norm: 30.363 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2025-11-16 17:55:46] iteration       22/30517578 | consumed samples:         1408 | elapsed time per iteration (ms): 37030.6 | throughput per GPU (TFLOP/s/GPU): 358.9 | learning rate: 2.883582E-08 | decoupled learning rate: 7.208956E-08 | global batch size:    64 | lm loss: 1.184913E+01 | loss scale: 1.0 | grad norm: 31.172 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2025-11-16 17:56:23] iteration       23/30517578 | consumed samples:         1472 | elapsed time per iteration (ms): 36826.9 | throughput per GPU (TFLOP/s/GPU): 360.8 | learning rate: 3.014654E-08 | decoupled learning rate: 7.536636E-08 | global batch size:    64 | lm loss: 1.182705E+01 | loss scale: 1.0 | grad norm: 30.279 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2025-11-16 17:56:59] iteration       24/30517578 | consumed samples:         1536 | elapsed time per iteration (ms): 36728.0 | throughput per GPU (TFLOP/s/GPU): 361.8 | learning rate: 3.145727E-08 | decoupled learning rate: 7.864316E-08 | global batch size:    64 | lm loss: 1.180873E+01 | loss scale: 1.0 | grad norm: 31.056 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2025-11-16 17:57:36] iteration       25/30517578 | consumed samples:         1600 | elapsed time per iteration (ms): 36741.5 | throughput per GPU (TFLOP/s/GPU): 361.7 | learning rate: 3.276798E-08 | decoupled learning rate: 8.191996E-08 | global batch size:    64 | lm loss: 1.179537E+01 | loss scale: 1.0 | grad norm: 30.253 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2025-11-16 17:58:13] iteration       26/30517578 | consumed samples:         1664 | elapsed time per iteration (ms): 36713.8 | throughput per GPU (TFLOP/s/GPU): 362.0 | learning rate: 3.407870E-08 | decoupled learning rate: 8.519676E-08 | global batch size:    64 | lm loss: 1.177651E+01 | loss scale: 1.0 | grad norm: 30.707 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2025-11-16 17:58:49] iteration       27/30517578 | consumed samples:         1728 | elapsed time per iteration (ms): 36438.7 | throughput per GPU (TFLOP/s/GPU): 364.7 | learning rate: 3.538942E-08 | decoupled learning rate: 8.847355E-08 | global batch size:    64 | lm loss: 1.176035E+01 | loss scale: 1.0 | grad norm: 31.339 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2025-11-16 17:59:27] iteration       28/30517578 | consumed samples:         1792 | elapsed time per iteration (ms): 37586.7 | throughput per GPU (TFLOP/s/GPU): 353.5 | learning rate: 3.670014E-08 | decoupled learning rate: 9.175035E-08 | global batch size:    64 | lm loss: 1.174311E+01 | loss scale: 1.0 | grad norm: 31.844 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2025-11-16 18:00:04] iteration       29/30517578 | consumed samples:         1856 | elapsed time per iteration (ms): 36611.1 | throughput per GPU (TFLOP/s/GPU): 363.0 | learning rate: 3.801086E-08 | decoupled learning rate: 9.502715E-08 | global batch size:    64 | lm loss: 1.170904E+01 | loss scale: 1.0 | grad norm: 31.841 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2025-11-16 18:00:41] iteration       30/30517578 | consumed samples:         1920 | elapsed time per iteration (ms): 37546.2 | throughput per GPU (TFLOP/s/GPU): 353.9 | learning rate: 3.932158E-08 | decoupled learning rate: 9.830395E-08 | global batch size:    64 | lm loss: 1.157956E+01 | loss scale: 1.0 | grad norm: 34.566 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2025-11-16 18:01:18] iteration       31/30517578 | consumed samples:         1984 | elapsed time per iteration (ms): 37001.0 | throughput per GPU (TFLOP/s/GPU): 359.1 | learning rate: 4.063230E-08 | decoupled learning rate: 1.015807E-07 | global batch size:    64 | lm loss: 1.150604E+01 | loss scale: 1.0 | grad norm: 35.920 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2025-11-16 18:01:54] iteration       32/30517578 | consumed samples:         2048 | elapsed time per iteration (ms): 36350.2 | throughput per GPU (TFLOP/s/GPU): 365.6 | learning rate: 4.194302E-08 | decoupled learning rate: 1.048575E-07 | global batch size:    64 | lm loss: 1.144785E+01 | loss scale: 1.0 | grad norm: 37.517 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2025-11-16 18:02:31] iteration       33/30517578 | consumed samples:         2112 | elapsed time per iteration (ms): 36041.0 | throughput per GPU (TFLOP/s/GPU): 368.7 | learning rate: 4.325374E-08 | decoupled learning rate: 1.081343E-07 | global batch size:    64 | lm loss: 1.142267E+01 | loss scale: 1.0 | grad norm: 37.053 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2025-11-16 18:03:07] iteration       34/30517578 | consumed samples:         2176 | elapsed time per iteration (ms): 36130.8 | throughput per GPU (TFLOP/s/GPU): 367.8 | learning rate: 4.456446E-08 | decoupled learning rate: 1.114111E-07 | global batch size:    64 | lm loss: 1.135402E+01 | loss scale: 1.0 | grad norm: 40.118 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2025-11-16 18:03:44] iteration       35/30517578 | consumed samples:         2240 | elapsed time per iteration (ms): 36868.2 | throughput per GPU (TFLOP/s/GPU): 360.4 | learning rate: 4.587518E-08 | decoupled learning rate: 1.146879E-07 | global batch size:    64 | lm loss: 1.132195E+01 | loss scale: 1.0 | grad norm: 40.528 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2025-11-16 18:04:20] iteration       36/30517578 | consumed samples:         2304 | elapsed time per iteration (ms): 36967.1 | throughput per GPU (TFLOP/s/GPU): 359.5 | learning rate: 4.718590E-08 | decoupled learning rate: 1.179647E-07 | global batch size:    64 | lm loss: 1.125521E+01 | loss scale: 1.0 | grad norm: 42.795 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2025-11-16 18:04:57] iteration       37/30517578 | consumed samples:         2368 | elapsed time per iteration (ms): 36269.8 | throughput per GPU (TFLOP/s/GPU): 366.4 | learning rate: 4.849662E-08 | decoupled learning rate: 1.212415E-07 | global batch size:    64 | lm loss: 1.120250E+01 | loss scale: 1.0 | grad norm: 43.941 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2025-11-16 18:05:32] iteration       38/30517578 | consumed samples:         2432 | elapsed time per iteration (ms): 35370.6 | throughput per GPU (TFLOP/s/GPU): 375.7 | learning rate: 4.980733E-08 | decoupled learning rate: 1.245183E-07 | global batch size:    64 | lm loss: 1.115535E+01 | loss scale: 1.0 | grad norm: 46.029 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2025-11-16 18:06:08] iteration       39/30517578 | consumed samples:         2496 | elapsed time per iteration (ms): 35671.0 | throughput per GPU (TFLOP/s/GPU): 372.5 | learning rate: 5.111805E-08 | decoupled learning rate: 1.277951E-07 | global batch size:    64 | lm loss: 1.112023E+01 | loss scale: 1.0 | grad norm: 47.928 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2025-11-16 18:06:45] iteration       40/30517578 | consumed samples:         2560 | elapsed time per iteration (ms): 36713.6 | throughput per GPU (TFLOP/s/GPU): 362.0 | learning rate: 5.242877E-08 | decoupled learning rate: 1.310719E-07 | global batch size:    64 | lm loss: 1.104389E+01 | loss scale: 1.0 | grad norm: 50.158 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2025-11-16 18:07:22] iteration       41/30517578 | consumed samples:         2624 | elapsed time per iteration (ms): 37411.2 | throughput per GPU (TFLOP/s/GPU): 355.2 | learning rate: 5.373949E-08 | decoupled learning rate: 1.343487E-07 | global batch size:    64 | lm loss: 1.087767E+01 | loss scale: 1.0 | grad norm: 51.396 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2025-11-16 18:07:57] iteration       42/30517578 | consumed samples:         2688 | elapsed time per iteration (ms): 35207.5 | throughput per GPU (TFLOP/s/GPU): 377.4 | learning rate: 5.505021E-08 | decoupled learning rate: 1.376255E-07 | global batch size:    64 | lm loss: 1.069932E+01 | loss scale: 1.0 | grad norm: 54.131 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2025-11-16 18:08:33] iteration       43/30517578 | consumed samples:         2752 | elapsed time per iteration (ms): 36251.2 | throughput per GPU (TFLOP/s/GPU): 366.6 | learning rate: 5.636093E-08 | decoupled learning rate: 1.409023E-07 | global batch size:    64 | lm loss: 1.048644E+01 | loss scale: 1.0 | grad norm: 60.563 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2025-11-16 18:09:10] iteration       44/30517578 | consumed samples:         2816 | elapsed time per iteration (ms): 36616.8 | throughput per GPU (TFLOP/s/GPU): 362.9 | learning rate: 5.767165E-08 | decoupled learning rate: 1.441791E-07 | global batch size:    64 | lm loss: 1.034573E+01 | loss scale: 1.0 | grad norm: 61.168 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2025-11-16 18:09:46] iteration       45/30517578 | consumed samples:         2880 | elapsed time per iteration (ms): 35544.4 | throughput per GPU (TFLOP/s/GPU): 373.9 | learning rate: 5.898237E-08 | decoupled learning rate: 1.474559E-07 | global batch size:    64 | lm loss: 1.022206E+01 | loss scale: 1.0 | grad norm: 62.449 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2025-11-16 18:10:23] iteration       46/30517578 | consumed samples:         2944 | elapsed time per iteration (ms): 36991.1 | throughput per GPU (TFLOP/s/GPU): 359.2 | learning rate: 6.029309E-08 | decoupled learning rate: 1.507327E-07 | global batch size:    64 | lm loss: 1.011086E+01 | loss scale: 1.0 | grad norm: 63.956 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2025-11-16 18:10:59] iteration       47/30517578 | consumed samples:         3008 | elapsed time per iteration (ms): 36321.5 | throughput per GPU (TFLOP/s/GPU): 365.9 | learning rate: 6.160381E-08 | decoupled learning rate: 1.540095E-07 | global batch size:    64 | lm loss: 1.004428E+01 | loss scale: 1.0 | grad norm: 68.957 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2025-11-16 18:11:35] iteration       48/30517578 | consumed samples:         3072 | elapsed time per iteration (ms): 36133.3 | throughput per GPU (TFLOP/s/GPU): 367.8 | learning rate: 6.291453E-08 | decoupled learning rate: 1.572863E-07 | global batch size:    64 | lm loss: 9.911727E+00 | loss scale: 1.0 | grad norm: 67.785 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2025-11-16 18:12:12] iteration       49/30517578 | consumed samples:         3136 | elapsed time per iteration (ms): 36910.4 | throughput per GPU (TFLOP/s/GPU): 360.0 | learning rate: 6.422525E-08 | decoupled learning rate: 1.605631E-07 | global batch size:    64 | lm loss: 9.869171E+00 | loss scale: 1.0 | grad norm: 67.318 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2025-11-16 18:12:48] iteration       50/30517578 | consumed samples:         3200 | elapsed time per iteration (ms): 35638.0 | throughput per GPU (TFLOP/s/GPU): 372.9 | learning rate: 6.553596E-08 | decoupled learning rate: 1.638399E-07 | global batch size:    64 | lm loss: 9.755281E+00 | loss scale: 1.0 | grad norm: 69.468 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2025-11-16 18:13:23] iteration       51/30517578 | consumed samples:         3264 | elapsed time per iteration (ms): 35177.7 | throughput per GPU (TFLOP/s/GPU): 377.8 | learning rate: 6.684669E-08 | decoupled learning rate: 1.671167E-07 | global batch size:    64 | lm loss: 9.600657E+00 | loss scale: 1.0 | grad norm: 72.918 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2025-11-16 18:13:58] iteration       52/30517578 | consumed samples:         3328 | elapsed time per iteration (ms): 34901.3 | throughput per GPU (TFLOP/s/GPU): 380.7 | learning rate: 6.815741E-08 | decoupled learning rate: 1.703935E-07 | global batch size:    64 | lm loss: 9.530590E+00 | loss scale: 1.0 | grad norm: 75.098 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2025-11-16 18:14:33] iteration       53/30517578 | consumed samples:         3392 | elapsed time per iteration (ms): 35203.7 | throughput per GPU (TFLOP/s/GPU): 377.5 | learning rate: 6.946812E-08 | decoupled learning rate: 1.736703E-07 | global batch size:    64 | lm loss: 9.344207E+00 | loss scale: 1.0 | grad norm: 79.000 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2025-11-16 18:15:09] iteration       54/30517578 | consumed samples:         3456 | elapsed time per iteration (ms): 36579.3 | throughput per GPU (TFLOP/s/GPU): 363.3 | learning rate: 7.077885E-08 | decoupled learning rate: 1.769471E-07 | global batch size:    64 | lm loss: 9.273354E+00 | loss scale: 1.0 | grad norm: 77.607 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2025-11-16 18:15:47] iteration       55/30517578 | consumed samples:         3520 | elapsed time per iteration (ms): 37137.1 | throughput per GPU (TFLOP/s/GPU): 357.8 | learning rate: 7.208956E-08 | decoupled learning rate: 1.802239E-07 | global batch size:    64 | lm loss: 9.074205E+00 | loss scale: 1.0 | grad norm: 80.772 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2025-11-16 18:16:22] iteration       56/30517578 | consumed samples:         3584 | elapsed time per iteration (ms): 35781.2 | throughput per GPU (TFLOP/s/GPU): 371.4 | learning rate: 7.340028E-08 | decoupled learning rate: 1.835007E-07 | global batch size:    64 | lm loss: 8.985690E+00 | loss scale: 1.0 | grad norm: 85.554 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2025-11-16 18:16:58] iteration       57/30517578 | consumed samples:         3648 | elapsed time per iteration (ms): 36029.6 | throughput per GPU (TFLOP/s/GPU): 368.8 | learning rate: 7.471100E-08 | decoupled learning rate: 1.867775E-07 | global batch size:    64 | lm loss: 8.900663E+00 | loss scale: 1.0 | grad norm: 91.987 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2025-11-16 18:17:34] iteration       58/30517578 | consumed samples:         3712 | elapsed time per iteration (ms): 36043.9 | throughput per GPU (TFLOP/s/GPU): 368.7 | learning rate: 7.602172E-08 | decoupled learning rate: 1.900543E-07 | global batch size:    64 | lm loss: 8.691153E+00 | loss scale: 1.0 | grad norm: 100.505 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2025-11-16 18:18:12] iteration       59/30517578 | consumed samples:         3776 | elapsed time per iteration (ms): 37948.5 | throughput per GPU (TFLOP/s/GPU): 350.2 | learning rate: 7.733244E-08 | decoupled learning rate: 1.933311E-07 | global batch size:    64 | lm loss: 8.647436E+00 | loss scale: 1.0 | grad norm: 111.779 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2025-11-16 18:18:50] iteration       60/30517578 | consumed samples:         3840 | elapsed time per iteration (ms): 37299.0 | throughput per GPU (TFLOP/s/GPU): 356.3 | learning rate: 7.864316E-08 | decoupled learning rate: 1.966079E-07 | global batch size:    64 | lm loss: 8.434130E+00 | loss scale: 1.0 | grad norm: 123.110 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2025-11-16 18:19:27] iteration       61/30517578 | consumed samples:         3904 | elapsed time per iteration (ms): 37535.2 | throughput per GPU (TFLOP/s/GPU): 354.0 | learning rate: 7.995388E-08 | decoupled learning rate: 1.998847E-07 | global batch size:    64 | lm loss: 8.080872E+00 | loss scale: 1.0 | grad norm: 133.155 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2025-11-16 18:20:05] iteration       62/30517578 | consumed samples:         3968 | elapsed time per iteration (ms): 38123.4 | throughput per GPU (TFLOP/s/GPU): 348.6 | learning rate: 8.126460E-08 | decoupled learning rate: 2.031615E-07 | global batch size:    64 | lm loss: 7.948759E+00 | loss scale: 1.0 | grad norm: 134.252 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2025-11-16 18:20:43] iteration       63/30517578 | consumed samples:         4032 | elapsed time per iteration (ms): 37766.3 | throughput per GPU (TFLOP/s/GPU): 351.9 | learning rate: 8.257532E-08 | decoupled learning rate: 2.064383E-07 | global batch size:    64 | lm loss: 7.746419E+00 | loss scale: 1.0 | grad norm: 133.861 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2025-11-16 18:21:19] iteration       64/30517578 | consumed samples:         4096 | elapsed time per iteration (ms): 35978.1 | throughput per GPU (TFLOP/s/GPU): 369.4 | learning rate: 8.388604E-08 | decoupled learning rate: 2.097151E-07 | global batch size:    64 | lm loss: 7.485625E+00 | loss scale: 1.0 | grad norm: 143.409 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2025-11-16 18:21:57] iteration       65/30517578 | consumed samples:         4160 | elapsed time per iteration (ms): 37534.3 | throughput per GPU (TFLOP/s/GPU): 354.0 | learning rate: 8.519676E-08 | decoupled learning rate: 2.129919E-07 | global batch size:    64 | lm loss: 7.380788E+00 | loss scale: 1.0 | grad norm: 144.030 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2025-11-16 18:22:35] iteration       66/30517578 | consumed samples:         4224 | elapsed time per iteration (ms): 38027.0 | throughput per GPU (TFLOP/s/GPU): 349.5 | learning rate: 8.650748E-08 | decoupled learning rate: 2.162687E-07 | global batch size:    64 | lm loss: 7.065817E+00 | loss scale: 1.0 | grad norm: 143.657 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2025-11-16 18:23:12] iteration       67/30517578 | consumed samples:         4288 | elapsed time per iteration (ms): 37128.0 | throughput per GPU (TFLOP/s/GPU): 357.9 | learning rate: 8.781819E-08 | decoupled learning rate: 2.195455E-07 | global batch size:    64 | lm loss: 6.895705E+00 | loss scale: 1.0 | grad norm: 154.839 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2025-11-16 18:23:50] iteration       68/30517578 | consumed samples:         4352 | elapsed time per iteration (ms): 37875.6 | throughput per GPU (TFLOP/s/GPU): 350.8 | learning rate: 8.912892E-08 | decoupled learning rate: 2.228223E-07 | global batch size:    64 | lm loss: 6.660863E+00 | loss scale: 1.0 | grad norm: 155.144 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2025-11-16 18:24:28] iteration       69/30517578 | consumed samples:         4416 | elapsed time per iteration (ms): 38213.3 | throughput per GPU (TFLOP/s/GPU): 347.7 | learning rate: 9.043963E-08 | decoupled learning rate: 2.260991E-07 | global batch size:    64 | lm loss: 6.376202E+00 | loss scale: 1.0 | grad norm: 165.549 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2025-11-16 18:25:05] iteration       70/30517578 | consumed samples:         4480 | elapsed time per iteration (ms): 37469.0 | throughput per GPU (TFLOP/s/GPU): 354.7 | learning rate: 9.175035E-08 | decoupled learning rate: 2.293759E-07 | global batch size:    64 | lm loss: 6.180038E+00 | loss scale: 1.0 | grad norm: 165.866 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2025-11-16 18:25:44] iteration       71/30517578 | consumed samples:         4544 | elapsed time per iteration (ms): 38239.5 | throughput per GPU (TFLOP/s/GPU): 347.5 | learning rate: 9.306108E-08 | decoupled learning rate: 2.326527E-07 | global batch size:    64 | lm loss: 6.036340E+00 | loss scale: 1.0 | grad norm: 170.100 | number of skipped iterations:   0 | number of nan iterations:   0 |
